itm_no_item|INVALID ITEM{***}
itm_no_item_pl|INVALIDITEM
itm_tutorial_spear|矛
itm_tutorial_spear_pl|矛
itm_tutorial_club|木棒
itm_tutorial_club_pl|木棒
itm_tutorial_battle_axe|长战斧
itm_tutorial_battle_axe_pl|长战斧
itm_tutorial_arrows|箭
itm_tutorial_arrows_pl|箭
itm_tutorial_bolts|弩箭
itm_tutorial_bolts_pl|弩箭
itm_tutorial_short_bow|长弓
itm_tutorial_short_bow_pl|长弓
itm_tutorial_crossbow|弩
itm_tutorial_crossbow_pl|弩
itm_tutorial_throwing_daggers|标枪
itm_tutorial_throwing_daggers_pl|标枪
itm_tutorial_saddle_horse|带鞍矮种马
itm_tutorial_saddle_horse_pl|带鞍矮种马
itm_tutorial_shield|练习圆盾
itm_tutorial_shield_pl|练习圆盾
itm_tutorial_staff_no_attack|训练棍
itm_tutorial_staff_no_attack_pl|训练棍
itm_tutorial_staff|训练棍
itm_tutorial_staff_pl|训练棍
itm_tutorial_sword|训练剑
itm_tutorial_sword_pl|训练剑
itm_tutorial_axe|训练斧
itm_tutorial_axe_pl|训练斧
itm_tutorial_dagger|训练刀
itm_tutorial_dagger_pl|训练刀
itm_horse_meat|马肉
itm_horse_meat_pl|马肉
itm_practice_sword|平民剑
itm_practice_sword_pl|平民剑
itm_heavy_practice_sword|戈伊德尔冠军剑
itm_heavy_practice_sword_pl|戈伊德尔冠军剑
itm_practice_dagger|刀
itm_practice_dagger_pl|刀
itm_practice_axe|斧
itm_practice_axe_pl|斧
itm_arena_axe|短斧
itm_arena_axe_pl|短斧
itm_arena_sword|平民剑
itm_arena_sword_pl|平民剑
itm_arena_sword_two_handed|戈伊德尔冠军剑
itm_arena_sword_two_handed_pl|戈伊德尔冠军剑
itm_arena_lance|矛
itm_arena_lance_pl|矛
itm_practice_staff|权杖
itm_practice_staff_pl|权杖
itm_practice_lance|矛
itm_practice_lance_pl|矛
itm_practice_shield|练习盾
itm_practice_shield_pl|练习盾
itm_practice_bow|长弓
itm_practice_bow_pl|长弓
itm_practice_crossbow|吊索
itm_practice_crossbow_pl|吊索
itm_practice_javelin|标枪
itm_practice_javelin_pl|标枪
itm_practice_javelin_melee|标枪
itm_practice_javelin_melee_pl|标枪
itm_practice_throwing_daggers|标枪
itm_practice_throwing_daggers_pl|标枪
itm_practice_throwing_daggers_100_amount|标枪
itm_practice_throwing_daggers_100_amount_pl|标枪
itm_practice_horse|带鞍矮种马
itm_practice_horse_pl|带鞍矮种马
itm_practice_arrows|箭
itm_practice_arrows_pl|箭
itm_practice_bolts|吊索岩
itm_practice_bolts_pl|吊索岩
itm_practice_arrows_10_amount|箭
itm_practice_arrows_10_amount_pl|箭
itm_practice_arrows_100_amount|箭
itm_practice_arrows_100_amount_pl|箭
itm_practice_bolts_9_amount|练习弩箭
itm_practice_bolts_9_amount_pl|练习弩箭
itm_practice_boots|靴子
itm_practice_boots_pl|靴子
itm_red_tourney_armor|红色上衣
itm_red_tourney_armor_pl|红色上衣
itm_blue_tourney_armor|蓝色上衣
itm_blue_tourney_armor_pl|蓝色上衣
itm_green_tourney_armor|绿色上衣
itm_green_tourney_armor_pl|绿色上衣
itm_gold_tourney_armor|白色上衣
