fac_no_faction|无阵营
fac_commoners|平民
fac_outlaws|盗贼
fac_neutral|中立
fac_innocents|无辜者
fac_merchants|商人
fac_dark_knights|{!}黑骑士
fac_culture_norse|诺斯
fac_culture_saxon|撒克逊
fac_culture_angle|盎格鲁
fac_culture_welsh|布立吞
fac_culture_irish|盖尔
fac_culture_scotch|皮克特
fac_cultures_end|{!}文化终结
fac_player_faction|玩家阵营
fac_player_supporters_faction|玩家的支持者
fac_kingdom_1|丹麦王国
fac_kingdom_2|挪威王国
fac_kingdom_3|莱斯林王国
fac_kingdom_4|弗里西亚王国
fac_kingdom_5|西撒克逊王国
fac_kingdom_6|东盎格利亚王国
fac_kingdom_7|麦西亚王国
fac_kingdom_8|诺森布里亚王国
fac_kingdom_9|圭内斯王国
fac_kingdom_10|布瑞赫尼奥格王国
fac_kingdom_11|阿尔特·克卢特王国
fac_kingdom_12|康沃尔王国
fac_kingdom_13|格卢辛王国
fac_kingdom_14|乌拉德王国
fac_kingdom_15|拉因王国
fac_kingdom_16|穆恩王国
fac_kingdom_17|康纳赫塔王国
fac_kingdom_18|艾利赫的乌伊·尼尔王朝
fac_kingdom_19|米德王国
fac_kingdom_20|阿尔巴王国
fac_kingdom_21|奥索里部落
fac_kingdoms_end|{!}王国结束
fac_robber_knights|{!}强盗骑士
fac_khergits|{!}库吉特人
fac_black_khergits|{!}黑旗库吉特
fac_christians|基督徒
fac_pagans|多神教徒
fac_manhunters|赏金猎人
fac_deserters|乱军
fac_mountain_bandits|海盗
fac_forest_bandits|绿林强盗
fac_undeads|{!}不死族
fac_slavers|{!}奴隶贩子
fac_peasant_rebels|{!}叛乱农民
fac_noble_refugees|{!}贵族难民
fac_apoyoplayer|中立者
fac_adventurers|冒险者
