fac_no_faction|No Faction{***}
fac_commoners|平民
fac_outlaws|不法之徒
fac_neutral|中立者
fac_innocents|无辜者
fac_merchants|商人
fac_culture_norse|诺尔斯
fac_culture_saxon|撒克逊
fac_culture_angle|盎格鲁
fac_culture_welsh|布立吞
fac_culture_irish|戈伊德尔
fac_culture_scotch|皮克特
fac_player_faction|玩家阵营
fac_player_supporters_faction|某个意淫王国
fac_kingdom_1|丹麦王国
fac_kingdom_2|挪威王国
fac_kingdom_3|雷弗莱王国
fac_kingdom_4|弗里斯王国
fac_kingdom_5|西撒克逊王国
fac_kingdom_6|东盎格里亚王国
fac_kingdom_7|麦西亚王国
fac_kingdom_8|诺森布里亚王国
fac_kingdom_9|格温特王国
fac_kingdom_10|拜卡灵王国
fac_kingdom_11|奥卡勒王国
fac_kingdom_12|康比亚王国
fac_kingdom_13|格莱永王国
fac_kingdom_14|阿尔斯特王国
fac_kingdom_15|雷金王国
fac_kingdom_16|穆梅殷王国
fac_kingdom_17|卡内塔王国
fac_kingdom_18|欧莱克王国
fac_kingdom_19|迈德王国
fac_kingdom_20|奥尔本王国
fac_kingdom_21|奥斯里部落
fac_christians|基督徒
fac_pagans|多神教徒
fac_manhunters|赏金猎人
fac_deserters|乱军
fac_mountain_bandits|海盗
fac_forest_bandits|绿林强盗
fac_apoyoplayer|中立者
fac_adventurers|冒险家
