mno_choice_04_3no|要饭的？放狗！
menu_event_05_normal|一个年轻贵族四处散播关于你母亲的谣言，最客气的说法也是指她干着世上最古老的行当。
mno_choice_05_1no|我要和他决斗！
mno_choice_05_2no|只是闲言碎语罢了。
menu_event_06_normal|你遇见一位军嫂，她哀求你解除她丈夫的契约。今年收成惨淡，他的军饷养不活全家；若他能回家耕田，一家人或许还能活下去。
mno_choice_06_1no|这怎么行！拿着这200银便士。
mno_choice_06_2no|你准许她丈夫卸甲归田。
menu_event_07_normal|当地有个唱反调的人正在散播关于你的谣言。虽然尽是胡言，但迟早会有人当真。
mno_choice_07_1no|让他说去吧，人人都有说话的权利。
mno_choice_07_2no|给他100银便士，请他闭嘴。
mno_choice_07_3no|让他永远开不了口。
menu_event_08_normal|你穿越森林，忽见一只野兔落入陷阱。你打算怎么做？
mno_choice_08_1nor|放了它。
mno_choice_08_2nor|收紧陷阱，宰了它！
mno_choice_08_3nor|视而不见，继续赶路。
menu_event_09_normal|你得到消息，一群老兵听闻你的威名，愿来投奔，但他们索要的军饷高于你通常给这类部队的价码。
mno_choice_9_1nor|你的部队带回了消息，他们说一些士兵心怀不满，而且一些人被说服投诚到我方军队。如果你同意的话，他们将在夜里离开城池加入你的军队。在他们离开之前，他们承诺将制造一些混乱来瓦解敌军斗志，使之更容易投降。
mno_choice_9_2nor|我不需要更多兵。
mno_choice_9_3nor|我不缺兵。
menu_event_10_normal|杀了他们，肯定能捞到不少战利品。
mno_choice_10_1nor|你的部队带回了消息，他们说一些士兵心怀不满，而且一些人被说服投诚到我方军队。如果你同意的话，他们将在夜里离开城池加入你的军队。在他们离开之前，他们承诺将制造一些混乱来瓦解敌军斗志，使之更容易投降。
mno_choice_10_2nor|我不需要再多养一张嘴。
menu_event_11_normal|你得到消息，一群街头乐手想以军乐手和旗手的身份加入你的队伍。
mno_choice_11_1no|你的部队带回了消息，他们说一些士兵心怀不满，而且一些人被说服投诚到我方军队。如果你同意的话，他们将在夜里离开城池加入你的军队。在他们离开之前，他们承诺将制造一些混乱来瓦解敌军斗志，使之更容易投降。
mno_choice_11_2no|我不需要更多兵。
menu_event_12_normal|你看到一只鹤在队伍上空盘旋。
mno_choice_12_1nor|告诉部下，鹤象征胜利！
mno_choice_12_2nor|别理它。
mno_choice_12_3nor|鹤虽预示厄运，但你相信部下！
menu_event_13_normal|一名农夫拦在路上，身后站着哭泣的女孩。他指着你的一名部下，指控那人玷污了他女儿，必须受罚。
mno_choice_13_1nor|给那人烙上印记，逐出队伍。
mno_choice_13_3nor|世道艰难，男人总得拿自己能拿的。
menu_event_14_normal|几小时后，部队在村边歇息，牧师的妻子趁丈夫不在，独自来找你。
mno_choice_14_1nor|你答应了。
mno_choice_14_3nor|你拒绝了。
menu_event_15_normal|你的威名引来年轻诺斯战士投奔。
mno_choice_15_1nor|接纳他们。
mno_choice_15_2nor|我不需要更多人。
menu_event_16_normal|接纳他们。
mno_choice_16_1nor|路上有个衣衫褴褛的人，神情疲惫。你派人去问，才知他遭劫，若再没钱就要饿死。他说自己当过兵，愿做忠诚战士。
mno_choice_16_2nor|给他一天饭钱（10银便士）。
mno_choice_16_4nor|给他几天饭钱（200银便士）。
mno_choice_16_5nor|给他钱，并邀他加入你的队伍。
menu_event_17_normal|一群山贼靠近营地。你的人刚摸向武器，山贼却放下兵刃，声称为和平而来。山贼首领上前，请求加入你们。
mno_choice_17_1nor|当然！我的队伍永远欢迎嗜血好汉！
mno_choice_17_2nor|抱歉，我们不收你们这种人！
mno_choice_17_3nor|去劫一座村庄，证明你们的价值！
mno_choice_17_4nor|杀光他们！
menu_event_18_normal|你来到一座被人遗忘的老领主墓前。
mno_choice_18_1nor|搜坟夺宝！
mno_choice_18_2nor|离开此地。
mno_choice_18_3nor|整理墓地，致以敬意。
menu_event_19_normal|你在附近村庄外发现无人看管的牛。
mno_choice_19_1nor|把牛送回村里，分文不取。
mno_choice_19_2nor|我会把牛还回去，但得讨个赏。
mno_choice_19_3nor|开饭！把牛围起来宰了。
menu_event_20_normal|你的声望引来两名熊皮狂战士投奔。
mno_choice_20_1nor|接纳他们。
mno_choice_20_2nor|我不需要更多人。
menu_event_21_normal|你的声望引来两名狼皮狂战士投奔。
mno_choice_21_1nor|接纳他们。
mno_choice_21_2nor|我不需要更多人。
menu_event_22_normal|接受他们。
mno_choice_22_1nor|在休息时，你的一些手下喝醉了，为最后一杯蜜酒大打出手。双方拔剑相向，眼看就要出人命。
mno_choice_22_2nor|让他们打下去，给其余人取乐。
mno_choice_22_3nor|你下令战时禁酒，将两个醉汉处死。
menu_event_23_normal|制止斗殴，各抽五十鞭。
mno_choice_23_1nor|行军途中，一名长袍男子拦住大军。他声称愿以8000银便士出售亚瑟王的传奇之剑卡里德福洛斯。
mno_choice_23_2nor|买下此剑。
mno_choice_23_3nor|我没兴趣。
menu_event_24_normal|你囊中羞涩，买不起这把剑。
mno_choice_24_1nor|行军途中，你来到一座农庄。庄主一反常态，紧闭门户，让武装奴隶守在门口。你心知他们挡不住你的战士。
mno_choice_24_2nor|攻进去，焚毁农庄以示惩戒。
menu_event_25_normal|继续前进，不值得为此停留。
mno_choice_25_1nor|两名男子拦住大军，称你已被五百名战士包围，若不交出2000银便士，他们便发动进攻。
mno_choice_25_2nor|付钱。
mno_choice_25_3nor|进攻！
menu_event_26_normal|继续行军。
mno_choice_26_1nor|一名斥候背着鼓鼓囊囊的袋子归来。你不想显得多疑，但备战士兵绝不会带这种袋子。里面似乎装着沉甸甸的硬币。你决定——
mno_choice_26_2nor|没收袋子，惩处士兵。
mno_choice_26_3nor|强迫他与全军分享好处。
menu_event_27_normal|你的士兵带来一位老人。长谈之后，他承认他们全村想加入你的队伍并离开故土。若接纳，必惹怒他们的领主。你决定：
mno_choice_27_1nor|不插手地方叛乱。
mno_choice_27_2nor|不救他，把他的尸体送回村子。
mno_choice_27_3nor|你正缺人手。
menu_event_28_normal|你扎营时，附近来了一群人。他们说收成糟糕，求你施舍银便士养活小孩。
mno_choice_28_1nor|给他们4000银便士。
mno_choice_28_2nor|给他们1000银便士。
mno_choice_28_3nor|你告诉他们自己也没余钱。
mno_choice_28_4nor|拨出200银便士作为救济金。
menu_event_29_normal|你扎营时，附近来了一群人。他们与领主有矛盾，前来求教。维京人劫掠后，他们一贫如洗，却仍得向领主缴税。领主未能保护他们，他们问：若拒税备战，领主来攻怎么办？若缴税，家人就得挨饿。你决定：
mno_choice_29_1nor|给他们8000银便士，让他们缴税并买粮。
mno_choice_29_2nor|给他们4000银便士缴税。
mno_choice_29_3nor|你告诉他们宁可战斗也不缴税。
mno_choice_29_4nor|他们应缴税，领主的刀剑比饥饿更致命。
mno_choice_29_5nor|拨出200银便士作为救济金。
menu_event_30_normal|途中，你遇见一位病妇。她皮肤发黄，咳个不停。她来自附近村庄，因无人能医，被送到路边，盼有过路旅行者知道疗法。
mno_choice_30_1nor|给她1000银便士，请个好医生。
mno_choice_30_2nor|作为最好的医生，{reg3?你下令:{s3}下令}放血。
mno_choice_30_3nor|别管她，这病可能传染。
menu_troop_camp|你在此地留下部分部队，建起一座小营地。^^（选择要留在营地的士兵，按下“给予”按钮即可转移。）
mno_station_troops|查看部队
menu_start_beda_final|最终
