qst_deliver_message|送信给{s13}
qst_deliver_message_text|{s9} 请你带个口信给{s13} ，当你接受这个任务的时候{s13} 正在{s4} 。
qst_deliver_message_to_enemy_lord|送信给{s13}
qst_deliver_message_to_enemy_lord_text|{s9} 请你带个口信给{s15} 的{s13} ，当你接受这个任务的时候{s13} 在{s4} 。
qst_raise_troops|培养{reg1}名{s14}
qst_raise_troops_text|{s9} 请你筹集{reg1} {s14} 并且把这些东西带给他。
qst_escort_lady|护送{s13}去{s14}
qst_deal_with_bandits_at_lords_village|从强盗手里解救{s15}村
qst_deal_with_bandits_at_lords_village_text|{s13} 请你去对付那些躲在{s15} 里的强盗然后回去报告给他。
qst_collect_taxes|到{s3}征税
qst_collect_taxes_text|{s9} 请你征收{s3}的税，你可以拿走五分之一的钱。
qst_hunt_down_fugitive|抓捕{s4}
qst_hunt_down_fugitive_text|{s9} 请你去抓捕一个叫{s4}的囚犯，他现在正在{s3} 。
qst_kill_local_merchant|杀掉{s3}的地方商人
qst_kill_local_merchant_text|{s9} 请你暗杀一个当地的商人，他现在在{s3} 。
qst_bring_back_runaway_serfs|追回逃跑的农奴
qst_bring_back_runaway_serfs_text|{s9} 请你去抓捕逃跑的农民，把他们带回{s2} 。他说所有的农民正逃向{s3} 。
qst_follow_spy|跟踪准备去碰头的间谍
qst_follow_spy_text|{s11} 请你跟踪一个从{s12}出来的间谍。你必须小心的跟着他，不要在中途被他发现否则他可能会起疑心并且返回镇子里去，当他与同伙会面时，你要埋伏并且抓住他们，把他们都带回{s11} 。
qst_capture_enemy_hero|抓捕在{s13}的一个领主
qst_lend_companion|把你的同伴{s3}借给{s9}
qst_lend_companion_text|{s9} 向你借{s3} 到他的队伍里一个星期
qst_collect_debt|讨要{s3}欠{s9}的借款
qst_collect_debt_text|{s9} 请你去收回债务{reg4} 先令{s3} 带给他。
qst_incriminate_loyal_commander|控告{s13}的忠心指挥官{s16}
qst_meet_spy_in_enemy_town|与在{s13}的间谍碰头
qst_capture_prisoners|抓捕{reg1}个{s3}俘虏
qst_capture_prisoners_text|{s9} 想让你带{reg1} {s3} 作为人质。
qst_lend_surgeon|把你的外科医生{s3}借给{s1}
qst_lend_surgeon_text|借你有经验的外科医生{s3} 到{s1} 。
qst_follow_army|跟随{s9}的部队
qst_report_to_army|向元帅{s13}报告情况
qst_deliver_cattle_to_army|把{reg3}头牛赶到{s13}
qst_join_siege_with_army|参加{s14}的围城战
qst_screen_army|掩护{s13}的军队前进
qst_scout_waypoints|侦察{s13}，{s14}和{s15}
qst_rescue_lord_by_replace|从{s14}解救{s13}
